"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"Code.java-PNC-1","PNC","live","26","0"
"Attribute.java-IOD-1","IOD","killed","26","1"
"Code.java-IHI-1","IHI","live","26","0"
"Code.java-IOD-1","IOD","live","26","0"
"Code.java-ISD-1","ISD","live","26","0"
"Code.java-ISD-2","ISD","killed","26","13"
"Code.java-ISD-3","ISD","killed","26","1"
"Code.java-ISD-4","ISD","killed","26","1"
"Code.java-ISD-5","ISD","live","26","0"
"Code.java-ISD-6","ISD","live","26","0"
"Code.java-JOD-1","JOD","killed","26","1"
"Code-IPC-1","IPC","live","26","0"
