"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"ConstantCP.java-IHI-1","IHI","live","7","0"
"ConstantCP.java-IOD-1","IOD","live","7","0"
"ConstantCP.java-JTD-1","JTD","live","7","0"
"ConstantFieldref.java-IHI-1","IHI","killed","7","1"
"ConstantCP.java-IOI-1","IOI","live","7","0"
"Constant.java-JOD-1","JOD","killed","7","1"
"Constant.java-JOD-2","JOD","killed","7","1"
"ConstantFieldref.java-IHI-2","IHI","live","7","0"
"ConstantFieldref-IPC-1","IPC","killed","7","2"
"ConstantFieldref-IPC-2","IPC","killed","7","5"
"ConstantFieldref-IPC-3","IPC","live","7","0"
"ConstantCP-IPC-1","IPC","live","7","0"
