"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"ConstantCP.java-JTD-1","JTD","killed","12","5"
"ConstantCP.java-IHI-1","IHI","live","12","0"
"ConstantCP.java-IOD-1","IOD","killed","12","1"
"Constant.java-JOD-1","JOD","live","12","0"
"Constant.java-JOD-2","JOD","live","12","0"
"ConstantInvokeDynamic.java-IOD-1","IOD","killed","12","1"
"ConstantInvokeDynamic.java-IHI-1","IHI","live","12","0"
"ConstantInvokeDynamic.java-IHI-2","IHI","live","12","0"
"ConstantInvokeDynamic.java-IHI-3","IHI","live","12","0"
"ConstantCP.java-IOI-1","IOI","live","12","0"
"Constant.java-IOD-1","IOD","live","12","0"
"ConstantCP-IPC-1","IPC","killed","12","1"
"ConstantFieldref-IPC-1","IPC","killed","12","5"
