"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"Field.java-IHI-1","IHI","live","20","0"
"Field.java-IHI-2","IHI","live","20","0"
"Field.java-IHI-3","IHI","live","20","0"
"Field.java-IHI-4","IHI","live","20","0"
"Field.java-IHI-5","IHI","live","20","0"
"Field.java-IOD-1","IOD","killed","20","2"
"Field.java-IOD-2","IOD","killed","20","1"
"Field.java-IOD-3","IOD","killed","20","1"
"Field.java-IPC-1","IPC","killed","20","2"
"Field.java-IPC-2","IPC","killed","20","3"
"Field.java-IPC-3","IPC","killed","20","8"
"FieldOrMethod.java-IPC-1","IPC","killed","20","1"
