"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"Method.java-IPC-1","IPC","killed","32","1"
"Method.java-IPC-2","IPC","killed","32","4"
"Method.java-IPC-3","IPC","killed","32","10"
"Method.java-IOI-1","IOI","live","32","0"
"FieldOrMethod.java-IPC-1","IPC","live","32","0"
"Method.java-IHI-1","IHI","live","32","0"
"Method.java-IHI-2","IHI","live","32","0"
"Method.java-IHI-3","IHI","live","32","0"
"Method.java-IHI-4","IHI","live","32","0"
"Method.java-IHI-5","IHI","live","32","0"
"Method.java-IOD-1","IOD","killed","32","1"
"Method.java-IOD-2","IOD","killed","32","2"
"Method.java-IOD-3","IOD","killed","32","2"
