"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"FixedSizeMap.java-IOD-6","IOD","live","18","0"
"FixedSizeMap.java-IOD-5","IOD","live","18","0"
"FixedSizeMap.java-IOD-4","IOD","killed","18","1"
"FixedSizeMap.java-IOD-1","IOD","killed","18","1"
"FixedSizeMap.java-IHI-1","IHI","killed","18","10"
"AbstractMapDecorator.java-JOD-1 (copy)","JOD","killed","18","14"
"FixedSizeMap.java-IOD-3","IOD","killed","18","1"
"FixedSizeMap.java-IOD-7","IOD","live","18","0"
"AbstractMapDecorator.java-JOD-1","JOD","live","18","0"
"AbstractMapDecorator.java-JOD-3","JOD","killed","18","1"
"AbstractMapDecorator.java-JOD-2","JOD","killed","18","1"
"AbstractMapDecorator.java-JOD-4","JOD","live","18","0"
"FixedSizeMap.java-IPC-1","IPC","killed","18","14"
"FixedSizeMap.java-IOD-2","IOD","killed","18","2"
