"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"AbstractLinkedMap.java-IHI-5","IHI","live","39","0"
"AbstractLinkedMap.java-IHI-7","IHI","live","39","0"
"AbstractLinkedMap.java-IOD-3","IOD","live","39","0"
"AbstractLinkedMap.java-IOD-5","IOD","live","39","0"
"AbstractLinkedMap.java-IPC-1","IPC","live","39","0"
"AbstractLinkedMap.java-IPC-2","IPC","live","39","0"
"LRUMap.java-IHI-1","IHI","killed","39","23"
"LRUMap.java-IHI-2","IHI","killed","39","4"
"LRUMap.java-IOD-1","IOD","live","39","0"
"LRUMap.java-IOD-2","IOD","killed","39","2"
"LRUMap.java-IOD-3","IOD","live","39","0"
"LRUMap.java-IOD-4","IOD","killed","39","2"
"LRUMap.java-IOD-5","IOD","live","39","0"
"LRUMap.java-IPC-1","IPC","killed","39","17"
"AbstractLinkedMap.java-IHI-2","IHI","killed","39","7"
"AbstractLinkedMap.java-IHI-4","IHI","live","39","0"
"AbstractLinkedMap.java-IOD-1","IOD","killed","39","10"
"AbstractLinkedMap.java-IOD-2","IOD","live","39","0"
"AbstractLinkedMap.java-IHI-1","IHI","killed","39","3"
"AbstractLinkedMap.java-IHI-3","IHI","live","39","0"
"AbstractLinkedMap.java-IHI-6","IHI","live","39","0"
"AbstractLinkedMap.java-IOD-4","IOD","killed","39","3"
