"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"LazySortedMap.java-POH-2","POH","live","22","0"
"LazySortedMap.java-POH-3","POH","live","22","0"
"LazySortedMap.java-POH-1","POH","live","22","0"
"LazySortedMap.java-IHI-1","IHI","killed","22","3"
"LazyMap.java-IOD-1","IOD","live","22","0"
"AbstractMapDecorator.java-POH-1","POH","live","22","0"
"AbstractMapDecorator.java-JOD-4","JOD","live","22","0"
"AbstractMapDecorator.java-JOD-3","JOD","killed","22","1"
"AbstractMapDecorator.java-JOD-2","JOD","live","22","0"
"AbstractMapDecorator.java-JOD-1","JOD","killed","22","1"
"AbstractMapDecorator.java-JDC-1","JDC","killed","22","20"
"LazySortedMap.java-POH-6","POH","killed","22","1"
"LazySortedMap.java-POH-7","POH","live","22","0"
"LazySortedMap.java-POH-7 (copy)","POH","live","22","0"
"LazySortedMap.java-POH-4","POH","live","22","0"
"LazySortedMap.java-POH-5","POH","killed","22","1"
