"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"PassiveExpiringMap.java-IOD-8","IOD","live","31","0"
"PassiveExpiringMap.java-JOD-1","JOD","live","31","0"
"PassiveExpiringMap.java-IOD-6","IOD","killed","31","1"
"AbstractMapDecorator.java-JOD-3","JOD","killed","31","3"
"AbstractMapDecorator.java-JOD-2","JOD","killed","31","3"
"AbstractMapDecorator.java-JDC-1","JDC","killed","31","24"
"PassiveExpiringMap.java-IOD-4","IOD","live","31","0"
"PassiveExpiringMap.java-IOD-3","IOD","killed","31","1"
"PassiveExpiringMap.java-IOD-2","IOD","live","31","0"
"PassiveExpiringMap.java-IOD-1","IOD","live","31","0"
"PassiveExpiringMap.java-IHI-1","IHI","killed","31","1"
"AbstractMapDecorator.java-JOD-4","JOD","live","31","0"
"AbstractMapDecorator.java-JOD-1","JOD","live","31","0"
"PassiveExpiringMap.java-org-1","org","live","31","0"
"PassiveExpiringMap.java-IOD-7","IOD","killed","31","1"
"PassiveExpiringMap.java-IOD-5","IOD","live","31","0"
