"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"AbstractReferenceMap.java-IOD-13","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-15","IOD","live","7","0"
"ReferenceMap.java-IHI-4","IHI","live","7","0"
"ReferenceMap.java-IHI-5","IHI","live","7","0"
"AbstractReferenceMap.java-IHI-1","IHI","killed","7","2"
"AbstractReferenceMap.java-IOD-1","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-2","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-3","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-4","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-5","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-6","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-7","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-8","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-9","IOD","live","7","0"
"AbstractReferenceMap.java-IPC-1","IPC","killed","7","2"
"ReferenceMap.java-IHI-2","IHI","live","7","0"
"AbstractReferenceMap.java-IOD-10","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-11","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-12","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-14","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-16","IOD","live","7","0"
"ReferenceMap.java-IHI-1","IHI","live","7","0"
"AbstractReferenceMap.java-IOD-17","IOD","live","7","0"
"AbstractReferenceMap.java-IOD-18","IOD","live","7","0"
"ReferenceMap.java-IHI-3","IHI","live","7","0"
