"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"TransformedSortedMap.java-IOH-6","IOH","live","26","0"
"AbstractMapDecorator.java-JDC-1","JDC","killed","26","26"
"AbstractInputCheckedMapDecorator.java-IPC-1","IPC","killed","26","26"
"TransformedSortedMap.java-IOH-3","IOH","live","26","0"
"AbstractMapDecorator.java-JOD-2","JOD","live","26","0"
"AbstractMapDecorator.java-JOD-1","JOD","live","26","0"
"TransformedMap.java-IOD-1","IOD","live","26","0"
"TransformedSortedMap.java-IOH-2","IOH","killed","26","1"
"TransformedMap.java-IOD-3","IOD","live","26","0"
"TransformedSortedMap.java-IOH-1","IOH","live","26","0"
"TransformedSortedMap.java-IHI-1","IHI","live","26","0"
"TransformedMap.java-IPC-1","IPC","killed","26","26"
"TransformedSortedMap.java-IOH-5","IOH","killed","26","2"
"TransformedSortedMap.java-IOH-4","IOH","live","26","0"
"TransformedMap.java-IOD-2","IOD","live","26","0"
