"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"CalendarValidator.java-JID-1","JID","killed","46","18"
"CalendarValidator.java-OM-1","OM","killed","46","19"
"CalendarValidator.java-OM-2","OM","killed","46","1"
"AbstractCalendarValidator.java-IOD-1","IOD","live","46","0"
"AbstractCalendarValidator.java-OM-1","OM","live","46","0"
"AbstractCalendarValidator.java-OM-2","OM","live","46","0"
"AbstractFormatValidator.java-OMD-1","OMD","live","46","0"
"AbstractFormatValidator.java-OMD-2","OMD","live","46","0"
"CalendarValidator.java-IOD-1","IOD","live","46","0"
"TimeValidatorAndParents-IPC-2","IPC","killed","46","5"
