"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"CurrencyValidator.java-JID-1","JID","killed","7","3"
"CurrencyValidator.java-JID-2","JID","killed","7","1"
"CurrencyValidator.java-IOD-1","IOD","killed","7","1"
"CurrencyValidator.java-PMD-1","PMD","killed","7","2"
"CurrencyValidator.java-PPD-1","PPD","killed","7","2"
"CurrencyValidator.java-IHD-1","IHD","live","7","0"
"CurrencyValidator.java-IHD-2","IHD","live","7","0"
"CurrencyValidator.java-IHD-3","IHD","live","7","0"
"AbstractFormatValidator.java-OMD-1","OMD","killed","7","1"
"AbstractFormatValidator.java-OMD-2","OMD","killed","7","1"
"CurrencyValidator.java-org-1","org","live","7","0"
"CurrencyValidatorAndParents-IPC-1","IPC","killed","7","2"
"AbstractCalendarValidatorAndParent-IPC-1","IPC","killed","7","1"
