"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"PercentValidator.java-org-1","org","live","7","0"
"PercentValidator.java-IHI-1","IHI","live","7","0"
"PercentValidator.java-JID-1","JID","killed","7","1"
"PercentValidator.java-JID-2","JID","killed","7","3"
"PercentValidator.java-IPC-1","IPC","killed","7","1"
"PercentValidator.java-IOP-1","IOP","killed","7","1"
"BigDecimalValidator.java-JID-1","JID","live","7","0"
"BigDecimalValidator.java-PNC-1","PNC","live","7","0"
"BigDecimalValidator.java-PNC-1 (copy)","PNC","live","7","0"
"AbstractNumberValidatorAndParent-IPC-2","IPC","killed","7","1"
