"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"AbstractCalendarValidator.java-IOD-1","IOD","live","43","0"
"TimeValidator.java-IHI-1","IHI","live","43","0"
"TimeValidator.java-IHI-2","IHI","live","43","0"
"TimeValidator.java-OMR-1","OMR","killed","43","1"
"TimeValidator.java-OMR-2","OMR","killed","43","1"
"TimeValidator.java-OMR-3","OMR","killed","43","2"
"TimeValidator.java-OMR-4","OMR","killed","43","1"
"TimeValidator.java-IHI-3","IHI","live","43","0"
"AbstractCalendarValidator.java-OM-1","OM","live","43","0"
"AbstractCalendarValidator.java-OM-1 (copy)","OM","live","43","0"
"AbstractCalendarValidatorAndParent-IPC-1","IPC","live","43","0"
"TimeValidatorAndParents-IPC-2","IPC","killed","43","6"
