"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.320","0.320"
"com.google.common.graph.AbstractBaseGraph$1","0.100","0.100"
"com.google.common.graph.NetworkBuilder","0.357","0.182"
"com.google.common.graph.ImmutableGraph","0.400","0.400"
"com.google.common.graph.StandardMutableNetwork","0.104","0.016"
"com.google.common.graph.EndpointPair$Unordered","0.241","0.118"
"com.google.common.graph.ValueGraphBuilder","0.867","0.833"
"com.google.common.graph.StandardMutableValueGraph","0.187","0.154"
"com.google.common.graph.ImmutableValueGraph$Builder","0.500","0.500"
"com.google.common.graph.MapIteratorCache$1","0.600","0.600"
"com.google.common.graph.MapIteratorCache$1$1","0.250","0.250"
"com.google.common.graph.StandardValueGraph","0.165","0.333"
"com.google.common.graph.ImmutableValueGraph","0.225","0.750"
