"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"ImmutableValueGraph.java-IOD-2","IOD","killed","8","2"
"AbstractBaseGraph.java-IPD-2","IPD","live","8","0"
"AbstractValueGraph.java-IOI-1","IOI","live","8","0"
"AbstractValueGraph.java-IOI-3","IOI","live","8","0"
"AbstractValueGraph.java-JOD-1","JOD","live","8","0"
"StandardValueGraph.java-IOI-3","IOI","live","8","0"
"AbstractValueGraph.java-JOD-2","JOD","live","8","0"
"StandardValueGraph.java-IOD-1","IOD","live","8","0"
"StandardValueGraph.java-IOD-2","IOD","live","8","0"
"StandardValueGraph.java-IOD-3","IOD","live","8","0"
"StandardValueGraph.java-IOD-4","IOD","live","8","0"
"StandardValueGraph.java-IOD-5","IOD","live","8","0"
"StandardValueGraph.java-IOD-6","IOD","live","8","0"
"StandardValueGraph.java-IOI-1","IOI","live","8","0"
"ImmutableValueGraph.java-IOD-1","IOD","killed","8","2"
"AbstractBaseGraph.java-IPD-1","IPD","live","8","0"
"AbstractValueGraph.java-IOD-1","IOD","live","8","0"
"AbstractValueGraph.java-IOI-2","IOI","live","8","0"
"AbstractValueGraph.java-IOI-4","IOI","live","8","0"
"StandardValueGraph.java-IOI-2","IOI","live","8","0"
"StandardMutableValueGraph-IPC-1","IPC","killed","8","3"
