"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.320","0.320"
"com.google.common.graph.StandardMutableValueGraph","0.594","0.769"
"com.google.common.graph.ValueGraphBuilder","0.600","0.500"
"com.google.common.graph.StandardMutableGraph","0.233","1.000"
"com.google.common.graph.NetworkBuilder","0.429","0.273"
"com.google.common.graph.StandardMutableNetwork","0.104","0.016"
"com.google.common.graph.StandardValueGraph","0.141","0.306"
"com.google.common.graph.EndpointPair$Unordered","0.172","0.118"
"com.google.common.graph.GraphBuilder","0.233","0.042"
"com.google.common.graph.EndpointPair$Ordered","0.259","0.133"
