"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"StandardMutableGraph.java-IOI-1","IOI","killed","22","2"
"StandardMutableGraph.java-IOI-2","IOI","live","22","0"
"StandardMutableGraph.java-IOI-3","IOI","live","22","0"
"StandardMutableGraph.java-IOI-4","IOI","live","22","0"
"AbstractBaseGraph.java-IPD-2","IPD","killed","22","4"
"AbstractGraph.java-JOD-1","JOD","live","22","0"
"AbstractGraph.java-JOD-2","JOD","live","22","0"
"AbstractGraph.java-JOD-3","JOD","live","22","0"
"ForwardingGraph.java-IOD-1","IOD","live","22","0"
"ForwardingGraph.java-IOD-2","IOD","live","22","0"
"ForwardingGraph.java-IOD-3","IOD","live","22","0"
"ForwardingGraph.java-IOD-4","IOD","live","22","0"
"ForwardingGraph.java-IOD-5","IOD","live","22","0"
"ForwardingGraph.java-IOD-6","IOD","live","22","0"
"ForwardingGraph.java-IOD-8","IOD","live","22","0"
"AbstractBaseGraph.java-IPD-1","IPD","killed","22","3"
"ForwardingGraph.java-IOD-7","IOD","live","22","0"
