"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"StandardMutableNetwork.java-IOI-4","IOI","live","16","0"
"StandardMutableNetwork.java-IOI-5","IOI","killed","16","2"
"StandardNetwork.java-IOD-1","IOD","live","16","0"
"StandardNetwork.java-IOI-1","IOI","live","16","0"
"StandardNetwork.java-IOI-2","IOI","live","16","0"
"StandardNetwork.java-IOI-3","IOI","live","16","0"
"StandardNetwork.java-IOI-4","IOI","live","16","0"
"StandardNetwork.java-IOI-5","IOI","live","16","0"
"AbstractNetwork.java-IHI-2","IHI","live","16","0"
"AbstractNetwork.java-IHI-1","IHI","live","16","0"
"AbstractNetwork.java-IOD-1","IOD","live","16","0"
"AbstractNetwork.java-IOD-2","IOD","live","16","0"
"AbstractNetwork.java-IOD-3","IOD","live","16","0"
"StandardMutableNetwork.java-IHI-2","IHI","killed","16","5"
"StandardMutableNetwork.java-IHI-3","IHI","killed","16","10"
"StandardMutableNetwork.java-IOI-1","IOI","live","16","0"
"StandardMutableNetwork.java-IOI-2","IOI","live","16","0"
"StandardMutableNetwork.java-IOI-3","IOI","live","16","0"
"StandardMutableNetwork.java-IHI-1","IHI","killed","16","9"
"StandardMutableNetwork-IPC-2","IPC","killed","16","15"
"StandardMutableNetwork-IPC-1","IPC","killed","16","11"
