"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.320","0.320"
"com.google.common.graph.StandardMutableValueGraph","0.400","0.662"
"com.google.common.graph.ValueGraphBuilder","0.600","0.500"
"com.google.common.graph.DirectedGraphConnections$PredAndSucc","1.000","1.000"
"com.google.common.graph.NetworkBuilder","0.750","0.682"
"com.google.common.graph.StandardNetwork","0.326","0.326"
"com.google.common.graph.StandardValueGraph","0.129","0.306"
"com.google.common.graph.EndpointPair$Unordered","0.241","0.118"
"com.google.common.graph.GraphBuilder","0.233","0.042"
"com.google.common.graph.EndpointPair$Ordered","0.444","0.467"
