"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"StandardMutableValueGraph.java-IOD-1","IOD","live","19","0"
"StandardMutableValueGraph.java-IHI-1","IHI","killed","19","7"
"StandardMutableValueGraph.java-IHI-2","IHI","live","19","0"
"AbstractBaseGraph.java-IPD-1","IPD","killed","19","3"
"AbstractBaseGraph.java-IPD-2","IPD","killed","19","2"
"AbstractValueGraph.java-IOD-1","IOD","live","19","0"
"AbstractValueGraph.java-IOI-1","IOI","live","19","0"
"AbstractValueGraph.java-IOI-2","IOI","live","19","0"
"AbstractValueGraph.java-IOI-3","IOI","live","19","0"
"AbstractValueGraph.java-IOI-4","IOI","live","19","0"
"AbstractValueGraph.java-JOD-1","JOD","live","19","0"
"AbstractValueGraph.java-JOD-2","JOD","live","19","0"
"StandardValueGraph.java-IOD-1","IOD","live","19","0"
"StandardValueGraph.java-IOD-2","IOD","live","19","0"
"StandardValueGraph.java-IOD-3","IOD","live","19","0"
"StandardValueGraph.java-IOD-4","IOD","live","19","0"
"StandardValueGraph.java-IOD-5","IOD","live","19","0"
"StandardValueGraph.java-IOD-6","IOD","live","19","0"
"StandardValueGraph.java-IOI-1","IOI","live","19","0"
"StandardValueGraph.java-IOI-2","IOI","live","19","0"
"StandardValueGraph.java-IOI-3","IOI","live","19","0"
"StandardMutableValueGraph-IPC-1","IPC","killed","19","10"
