"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.320","0.320"
"com.google.common.graph.AbstractBaseGraph$1","0.100","0.100"
"com.google.common.graph.StandardMutableGraph","0.151","0.273"
"com.google.common.graph.NetworkBuilder","0.750","0.682"
"com.google.common.graph.ImmutableGraph","0.238","0.800"
"com.google.common.graph.EndpointPair$Unordered","0.241","0.118"
"com.google.common.graph.GraphBuilder","0.600","0.500"
"com.google.common.graph.StandardMutableValueGraph","0.200","0.046"
"com.google.common.graph.ValueGraphBuilder","0.600","0.500"
"com.google.common.graph.MapIteratorCache$1","0.600","0.600"
"com.google.common.graph.MapIteratorCache$1$1","0.250","0.250"
"com.google.common.graph.StandardNetwork","0.326","0.326"
"com.google.common.graph.StandardValueGraph","0.435","0.917"
"com.google.common.graph.ImmutableValueGraph","0.250","0.250"
"com.google.common.graph.EndpointPair$Ordered","0.259","0.133"
