"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"AbstractValueGraph.java-IOI-4","IOI","live","29","0"
"AbstractValueGraph.java-JOD-2","JOD","live","29","0"
"StandardValueGraph.java-IOD-2","IOD","live","29","0"
"StandardValueGraph.java-IOD-4","IOD","killed","29","1"
"AbstractBaseGraph.java-IPD-1","IPD","killed","29","1"
"AbstractBaseGraph.java-IPD-2","IPD","killed","29","1"
"AbstractValueGraph.java-IOD-1","IOD","live","29","0"
"AbstractValueGraph.java-IOI-1","IOI","live","29","0"
"AbstractValueGraph.java-IOI-2","IOI","live","29","0"
"StandardValueGraph.java-IOI-1","IOI","live","29","0"
"AbstractValueGraph.java-IOI-3","IOI","live","29","0"
"AbstractValueGraph.java-JOD-1","JOD","live","29","0"
"StandardValueGraph.java-IOD-1","IOD","killed","29","1"
"StandardValueGraph.java-IOD-3","IOD","live","29","0"
"StandardValueGraph.java-IOI-2","IOI","live","29","0"
"StandardValueGraph.java-IOI-3","IOI","live","29","0"
"StandardValueGraph.java-IOD-5","IOD","killed","29","1"
"StandardValueGraph.java-IOD-6","IOD","killed","29","1"
