"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"Rectangle.java-IHI-1","IHI","live","2","0"
"Rectangle.java-IHI-2","IHI","killed","2","1"
"Rectangle.java-IHI-3","IHI","live","2","0"
"Rectangle.java-IHI-4","IHI","live","2","0"
"Rectangle.java-IHI-5","IHI","live","2","0"
"Rectangle.java-IOD-1","IOD","killed","2","1"
"Rectangle.java-original-0","original","live","2","0"
"Rectangle.java-PNC-1","PNC","live","2","0"
"Rectangle.java-PNC-2","PNC","live","2","0"
"RectangleAndParents-IPC-1","IPC","killed","2","1"
