"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"ReverseL.java-IHI-1","IHI","live","1","0"
"ReverseL.java-IHI-5","IHI","live","1","0"
"ReverseL.java-IHI-3","IHI","killed","1","1"
"ReverseL.java-IHI-2","IHI","live","1","0"
"ReverseL.java-IHI-4","IHI","live","1","0"
"ReverseL.java-IHI-6","IHI","live","1","0"
"ReverseL.java-org-1","org","live","1","0"
"ReverseL.java-IHI-7","IHI","live","1","0"
"ReverseLwithPolygonAndOtherParents-IPC-1","IPC","live","1","0"
"ReverseLwithPolygon-IOD-1","IOD","live","1","0"
"ReverseLwithPolygon-IOR-1","IOR","live","1","0"
