"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"CachedIndicator.java-IHI-1","IHI","live","2","0"
"AbstractIndicator.java-PPD-1","PPD","live","2","0"
"AbstractIndicator.java-IOD-1","IOD","live","2","0"
"ATRIndicator.java-IOI-1","IOI","live","2","0"
"ATRIndicator.java-IHI-1","IHI","live","2","0"
"ATRIndicator.java-IOI-2","IOI","live","2","0"
"ATRIndicator.java-IOI-3","IOI","live","2","0"
"CachedIndicator-IPC-2","IPC","live","2","0"
"CachedIndicator-IPC-1","IPC","killed","2","1"
"ATRIndicator-IPC-1","IPC","live","2","0"
"CachedIndicator-IPC-3","IPC","killed","2","1"
