"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"ClosePriceIndicator.java-IHD-1","IHD","live","1","0"
"ClosePriceIndicator.java-IPC-1","IPC","live","1","0"
"PriceIndicator.java-IHI-1","IHI","live","1","0"
"PriceIndicator.java-JTD-1","JTD","live","1","0"
"AbstractIndicator.java-IOD-1","IOD","live","1","0"
"AbstractIndicator.java-PPD-1","PPD","live","1","0"
"ClosePriceIndicator-IPC-1","IPC","live","1","0"
"CachedIndicator-IPC-2","IPC","live","1","0"
"PriceIndicator-IPC-1","IPC","live","1","0"
"CachedIndicator-IPC-1","IPC","live","1","0"
