"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"DPOIndicator.java-IOI-1","IOI","live","7","0"
"DPOIndicator.java-IOI-2","IOI","live","7","0"
"AbstractIndicator.java-IOD-1..","IOD","live","7","0"
"AbstractIndicator.java-PPD-1..","PPD","live","7","0"
"CachedIndicator.java-IHI-1..","IHI","live","7","0"
"DPOIndicator.java-IHI-1..","IHI","live","7","0"
"DPOIndicator.java-IOD-1..","IOD","killed","7","1"
"DPOIndicator.java-JTD-1..","JTD","killed","7","1"
"DPOIndicator.java-JTD-2..","JTD","killed","7","5"
"DPOIndicator.java-PNC-1..","PNC","live","7","0"
"DPOIndicator.java-IOI-3","IOI","live","7","0"
"CachedIndicator-IPC-1","IPC","killed","7","4"
"CachedIndicator-IPC-2","IPC","killed","7","1"
"DPOIndicator-IPC-1","IPC","live","7","0"
"DPOIndicator-PMD-1","PMD","live","7","0"
