"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"MACDIndicator.java-org-1","org","live","5","0"
"CachedIndicator.java-IHI-1","IHI","live","5","0"
"AbstractIndicator.java-PPD-1","PPD","live","5","0"
"AbstractIndicator.java-IOD-1","IOD","live","5","0"
"MACDIndicator.java-IOI-2","IOI","live","5","0"
"MACDIndicator.java-IOI-1","IOI","live","5","0"
"MACDIndicator.java-IOI-3","IOI","live","5","0"
"MACDIndicator.java-IOI-4","IOI","live","5","0"
"MACDIndicator.java-IHI-1","IHI","live","5","0"
"CachedIndicator-IPC-1","IPC","killed","5","2"
"CachedIndicator-IPC-2","IPC","killed","5","2"
"MACDIndicator-IPC-1","IPC","killed","5","2"
"MACDIndicator-IPC-2","IPC","compile-error","0","0"
