"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"MMAIndicator.java-org-1","org","live","2","0"
"AbstractIndicator.java-IOD-1","IOD","live","2","0"
"AbstractIndicator.java-PPD-1","PPD","live","2","0"
"CachedIndicator.java-IHI-1","IHI","live","2","0"
"AbstractEMAIndicator.java-IOD-1","IOD","live","2","0"
"RecursiveCachedIndicator.java-IOD-1","IOD","live","2","0"
"MMAIndicator.java-IOI-1","IOI","live","2","0"
"MMAIndicator.java-IOI-2","IOI","live","2","0"
"MMAIndicator.java-IOI-3","IOI","live","2","0"
"AbstractEMAIndicator.java-IHI-1","IHI","live","2","0"
"RecursiveCachedIndicator.java-IHI-1","IHI","live","2","0"
"RecursiveCachedIndicator.java-IOI-1","IOI","live","2","0"
"AbstractEMAIndicator.java-IOI-1","IOI","live","2","0"
"CachedIndicator-IPC-1","IPC","killed","2","1"
"CachedIndicator-IPC-2","IPC","live","2","0"
"MMAIndicator-IPC-1","IPC","killed","2","1"
