"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"RWIHighIndicator.java-IOI-4","IOI","killed","5","2"
"CachedIndicator.java-IHI-1","IHI","live","5","0"
"RWIHighIndicator.java-org-1","org","live","5","0"
"RWIHighIndicator.java-IOD-1","IOD","killed","5","1"
"RWIHighIndicator.java-IOI-1","IOI","killed","5","1"
"RWIHighIndicator.java-IOI-2","IOI","killed","5","3"
"RWIHighIndicator.java-IOI-3","IOI","killed","5","2"
"AbstractIndicator.java-IOD-1","IOD","live","5","0"
"AbstractIndicator.java-PPD-1","PPD","live","5","0"
"RWIHighIndicator.java-IHI-1","IHI","live","5","0"
"RWIHighIndicator.java-JTD-1","JTD","killed","5","1"
"CachedIndicator-IPC-2","IPC","live","5","0"
"CachedIndicator-IPC-1","IPC","killed","5","3"
"RWIHighIndicator-IPC-1","IPC","killed","5","3"
