"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"SMAIndicator.java-IOI-3","IOI","live","4","0"
"SMAIndicator.java-IOI-4","IOI","live","4","0"
"SMAIndicator.java-IOI-1.","IOI","live","4","0"
"CachedIndicator.java-IHI-1","IHI","live","4","0"
"CachedIndicator.java-IOI-1","IOI","killed","4","2"
"CachedIndicator.java-IOI-2","IOI","killed","4","1"
"SMAIndicator.java-IHI-2","IHI","live","4","0"
"SMAIndicator.java-IOD-1","IOD","killed","4","1"
"SMAIndicator.java-IOI-2","IOI","live","4","0"
"AbstractIndicator.java-IOD-1","IOD","live","4","0"
"SMAIndicator.java-IHI-1","IHI","live","4","0"
"CachedIndicator-IPC-2","IPC","killed","4","2"
"CachedIndicator-IPC-1","IPC","killed","4","1"
"SMAIndicator-IPC-1","IPC","killed","4","2"
